ts,bpm,device
1764169468617,80,Apple Watch (Apple Watch)
1764169472614,83,Apple Watch (Apple Watch)
1764169477753,81,Apple Watch (Apple Watch)
1764169484161,84,Apple Watch (Apple Watch)
1764169489163,84,Apple Watch (Apple Watch)
1764169493813,85,Apple Watch (Apple Watch)
1764169498279,85,Apple Watch (Apple Watch)
1764169503635,85,Apple Watch (Apple Watch)
1764169508603,83,Apple Watch (Apple Watch)
1764169513593,82,Apple Watch (Apple Watch)
1764169518614,82,Apple Watch (Apple Watch)
1764169523592,83,Apple Watch (Apple Watch)
1764169528577,84,Apple Watch (Apple Watch)
1764169534063,85,Apple Watch (Apple Watch)
1764169538682,85,Apple Watch (Apple Watch)
1764169544148,84,Apple Watch (Apple Watch)
1764169549170,83,Apple Watch (Apple Watch)
1764169553426,83,Apple Watch (Apple Watch)
1764169558586,86,Apple Watch (Apple Watch)
1764169564172,90,Apple Watch (Apple Watch)
1764169568626,89,Apple Watch (Apple Watch)
1764169573599,89,Apple Watch (Apple Watch)
1764169578593,90,Apple Watch (Apple Watch)
1764169582705,91,Apple Watch (Apple Watch)
1764169592906,89,Apple Watch (Apple Watch)
1764169603152,94,Apple Watch (Apple Watch)
1764169613432,96,Apple Watch (Apple Watch)
1764169623575,90,Apple Watch (Apple Watch)
1764169628576,88,Apple Watch (Apple Watch)
1764169638594,89,Apple Watch (Apple Watch)
1764169644145,89,Apple Watch (Apple Watch)
1764169648573,89,Apple Watch (Apple Watch)
1764169653596,89,Apple Watch (Apple Watch)
1764169658582,89,Apple Watch (Apple Watch)
1764169669078,87,Apple Watch (Apple Watch)
1764169673582,87,Apple Watch (Apple Watch)
1764169678583,83,Apple Watch (Apple Watch)
1764169682587,83,Apple Watch (Apple Watch)
1764169687618,81,Apple Watch (Apple Watch)
1764169694336,80,Apple Watch (Apple Watch)
1764169699893,79,Apple Watch (Apple Watch)
1764169704331,79,Apple Watch (Apple Watch)
1764169709330,79,Apple Watch (Apple Watch)
1764169714894,76,Apple Watch (Apple Watch)
1764169718324,76,Apple Watch (Apple Watch)
1764169723431,76,Apple Watch (Apple Watch)
1764169728551,76,Apple Watch (Apple Watch)
1764169733670,75,Apple Watch (Apple Watch)
1764169738788,75,Apple Watch (Apple Watch)
1764169743920,76,Apple Watch (Apple Watch)
1764169749026,75,Apple Watch (Apple Watch)
1764169754146,74,Apple Watch (Apple Watch)
1764169759263,75,Apple Watch (Apple Watch)
1764169764383,75,Apple Watch (Apple Watch)
1764169769349,75,Apple Watch (Apple Watch)
1764169774349,75,Apple Watch (Apple Watch)
1764169779351,75,Apple Watch (Apple Watch)
1764169784350,75,Apple Watch (Apple Watch)
1764169794894,75,Apple Watch (Apple Watch)
1764169799350,76,Apple Watch (Apple Watch)
1764169804895,75,Apple Watch (Apple Watch)
1764169809359,75,Apple Watch (Apple Watch)
1764169814895,75,Apple Watch (Apple Watch)
1764169819350,76,Apple Watch (Apple Watch)
1764169824333,76,Apple Watch (Apple Watch)
1764169828378,76,Apple Watch (Apple Watch)
1764169834894,76,Apple Watch (Apple Watch)
1764169838606,77,Apple Watch (Apple Watch)
1764169843726,77,Apple Watch (Apple Watch)
1764169848843,77,Apple Watch (Apple Watch)
1764169859083,77,Apple Watch (Apple Watch)
1764169864203,77,Apple Watch (Apple Watch)
1764169874437,78,Apple Watch (Apple Watch)
1764169879332,77,Apple Watch (Apple Watch)
1764169884708,79,Apple Watch (Apple Watch)
1764169894316,80,Apple Watch (Apple Watch)
1764169899320,81,Apple Watch (Apple Watch)
1764169904318,80,Apple Watch (Apple Watch)
1764169919320,81,Apple Watch (Apple Watch)
1764169924316,82,Apple Watch (Apple Watch)
1764169934349,81,Apple Watch (Apple Watch)
1764169938431,81,Apple Watch (Apple Watch)
1764169943540,81,Apple Watch (Apple Watch)
1764169949894,82,Apple Watch (Apple Watch)
1764169954893,81,Apple Watch (Apple Watch)
1764169958895,81,Apple Watch (Apple Watch)
1764169964083,82,Apple Watch (Apple Watch)
1764169974249,82,Apple Watch (Apple Watch)
1764169984332,83,Apple Watch (Apple Watch)
1764169999843,83,Apple Watch (Apple Watch)
1764170004893,82,Apple Watch (Apple Watch)
1764170009335,82,Apple Watch (Apple Watch)
1764170039318,82,Apple Watch (Apple Watch)
1764170044893,83,Apple Watch (Apple Watch)
1764170048466,83,Apple Watch (Apple Watch)
1764170053586,83,Apple Watch (Apple Watch)
1764170059893,83,Apple Watch (Apple Watch)
1764170063823,83,Apple Watch (Apple Watch)
1764170068942,84,Apple Watch (Apple Watch)
1764170089348,84,Apple Watch (Apple Watch)
1764170094350,84,Apple Watch (Apple Watch)
1764170104772,83,Apple Watch (Apple Watch)
1764170109333,82,Apple Watch (Apple Watch)
1764170114333,82,Apple Watch (Apple Watch)
1764170119893,81,Apple Watch (Apple Watch)
1764170124335,80,Apple Watch (Apple Watch)
1764170129332,80,Apple Watch (Apple Watch)
1764170134333,80,Apple Watch (Apple Watch)
